issn	homepage
0001-0782	http://www.acm.org/pubs/contents/journals/cacm/
0001-1452	http://www.aiaa.org/content.cfm?pageid=322&lupubid=2
0001-1541	http://www.aiche.org/aichejournal/
0001-2092	http://www.sciencedirect.com/science/journal/00012092
0001-2351	http://www.asabe.org/pubs/trans.html
0001-2491	http://www.ashrae.org/publications/page/540
0001-2505	http://resourcecenter.ashrae.org/store/ashrae/newstore.cgi?categoryid=159&categoryparent=212&loginid=2940811
0001-253X	http://emeraldinsight.com/ap.htm
0001-2610	http://www.planning.org/planning
0001-2785	http://www.atz-mtz.de/
0001-2815	http://www.blackwellpublishing.com/journal.asp?ref=0001-2815
0001-2998	http://www.sciencedirect.com/science/journal/00012998
0001-3072	http://www.blackwellpublishing.com/journal.asp?ref=0001-3072
0001-3714	http://www.scielo.br/scielo.php?script=sci_issues&pid=0001-3714&lng=en&nrm=iso
0001-3765	http://www.scielo.br/scielo.php?script=sci_serial&pid=0001-3765&lng=en&nrm=iso
0001-4001	http://www.sciencedirect.com/science/journal/00014001
0001-4079	https://www.elsevier-masson.fr/bulletin-de-lacademie-nationale-de-medecine-0001-4079.html
0001-4273	http://aom.pace.edu/amjnew/
0001-4338	http://www.maik.ru/journals/physatm.htm
0001-4346	http://www.springeronline.com/journal/11006/about
0001-4370	http://www.maik.ru/journals/ocean.htm
0001-4575	http://www.sciencedirect.com/science/journal/00014575
0001-4788	http://www.abr-journal.co.uk
0001-4826	http://www.atypon-link.com/openurl?genre=journal&stitle=accr
0001-4842	http://pubs.acs.org/journals/achre4/index.html
0001-4966	http://ojps.aip.org/jasa
0001-5113	http://www.izor.hr/acta/
0001-5164	http://www.ulb.ac.be/medecine/loce/Acta_Medica_Belgica/journal/Acta_Anaesthesiologica_Belgica.htm
0001-5172	http://www.blackwellpublishing.com/journal.asp?ref=0001-5172
0001-5180	http://content.karger.com/ProdukteDB/produkte.asp?Aktion=JournalHome&ProduktNr=223827
0001-5202	http://www.jstage.jst.go.jp/browse/asjaa/
0001-5237	http://www.astrouw.edu.pl/~udalski/acta.html
0001-527X	http://www.actabp.pl
0001-5296	https://www.degruyter.com/view/j/abcsb
0001-5342	http://www.springeronline.com/journal/10441/about
0001-5369	http://www.sekj.org/ActaBot.html
0001-5385	http://poj.peeters-leuven.be/journal.php?code=AC
0001-5415	http://www.galen.cz/ActaChirurgiae0109.htm
0001-5423	http://www.clsjep.cz/en/nts/casop/acta/acta.asp
0001-544X	http://www.ingentaselect.com/rpsv/ij/bsc/0001544x/contp1.htm
0001-5458	http://www.ulb.ac.be/medecine/loce/Acta_Medica_Belgica/journal/Acta_Chirurgica_Belgica.htm
0001-5504	http://acta.ivic.ve/
0001-5512	http://users.ugent.be/~ivndorpe/
0001-5547	http://www.acta-cytol.com
0001-5555	http://www.medicaljournals.se/adv/
0001-5644	http://www.ulb.ac.be/medecine/loce/Acta_Medica_Belgica/journal/Acta_Gastro-Enterologica_Belgica.htm
0001-5652	http://www.karger.com/hhe
0001-5709	https://www.degruyter.com/view/j/agp
0001-5717	http://dizhixb.periodicals.net.cn/
0001-5725	http://agp.igf.edu.pl/
0001-5733	http://dqwlxb.periodicals.net.cn/
0001-5776	http://dialnet.unirioja.es/servlet/revista?tipo_busqueda=CODIGO&clave_revista=2924
0001-5792	http://www.karger.com/aha
0001-5903	http://www.springeronline.com/journal/00236/about
0001-5962	http://www.actamathematica.org
0001-5970	http://www.springeronline.com/journal/00707/about
0001-6055	http://www.jstage.jst.go.jp/browse/amn/
0001-6071	http://www.actamedicaphilippina.com.ph
0001-6098	http://www.vitaepensiero.it/riviste/pagcoml/acta_mr.asp?titolo=ACTA
0001-6160	http://www.sciencedirect.com/science/journal/00016160
0001-6209	http://wswxb.periodicals.net.cn/
0001-625X	http://pbsociety.org.pl/journals/index.php/am/index
0001-6268	http://www.springeronline.com/journal/00701/about
0001-6314	http://www.blackwellpublishing.com/journal.asp?ref=0001-6314
0001-6322	http://www.springeronline.com/journal/00401/about
0001-6349	http://www.informaworld.com/openurl?genre=journal&issn=00016349
0001-6357	http://www.informaworld.com/openurl?genre=journal&issn=00016357
0001-6373	http://www.akademiai.com/openurl.asp?genre=journal&issn=0001-6373
0001-6454	http://www.miiz.waw.pl/periodicals/acta-ornithologica/index.php?lk=ind&jk=en
0001-6462	http://www.actaorthopaedica.be/page.asp?lang=en&navid=116&mod=home&page=index
0001-6470	http://www.informaworld.com/openurl?genre=journal&issn=00016470
0001-6489	http://www.informaworld.com/openurl?genre=journal&issn=00016489
0001-6519	http://www.sciencedirect.com/science/journal/00016519
0001-6578	http://www.ceps.com.tw/ec/ecJnlIntro.aspx?Jnliid=1300
0001-6594	https://www.degruyter.com/view/j/acpa
0001-6659	http://www.medscape.com/medline/publicationbrowser/2167
0001-6772	http://www.blackwellpublishing.com/journal.asp?ref=1748-1708
0001-6810	http://www.palgrave-journals.com/ap/
0001-6837	http://www.ptfarm.pl/?pid=33
0001-6896	http://www.acta.org.ar/
0001-690X	http://www.blackwellpublishing.com/journal.asp?ref=0001-690X
0001-6918	http://www.sciencedirect.com/science/journal/00016918
0001-6969	http://www.acta.hu/
0001-6993	http://asj.sagepub.com/
0001-7019	http://www.ascro.hr
0001-7043	http://www.iee.cas.cz/acta/index.html
0001-7051	http://www.zbs.bialowieza.pl/acta/
0001-706X	http://www.sciencedirect.com/science/journal/0001706X
0001-7213	http://vfu-www.vfu.cz/acta-vet/actavet.php
0001-723X	http://avlogin.aepress.sk
0001-7272	http://www.blackwellpublishing.com/journal.asp?ref=0001-7272
0001-7299	http://www.sekj.org/ActaZool.html
0001-7302	http://www.currentzoology.org
0001-7310	http://www.sciencedirect.com/science/journal/00017310
0001-7701	http://www.springeronline.com/journal/10714/about
0001-7868	http://www.thieme.de/fz/uro
0001-8244	http://www.springeronline.com/journal/10519/about
0001-8368	http://www.wcl.american.edu/journal/alr/back.cfm
0001-8392	http://www.johnson.cornell.edu/asq/
0001-8449	http://www.vjf.cnrs.fr/clt/php/va/Page_revue.php?ValCodeRev=ADO
0001-8678	http://www.appliedprobability.org/ap.html
0001-8708	http://www.sciencedirect.com/science/journal/00018708
0001-8716	http://www.sciencedirect.com/science/journal/00018716
0001-8732	http://www.informaworld.com/openurl?genre=journal&issn=00018732
0001-8791	http://www.sciencedirect.com/science/journal/00018791
0001-9054	http://www.springeronline.com/journal/00010/about
0001-9240	http://www.aerosociety.com/cmspage.asp?cmsitemid=publications_journal
0001-9720	http://www.eup.ed.ac.uk/journals/content.aspx?pageId=1&journalId=11659
0001-9887	http://muse.jhu.edu/journals/at/
0001-9909	http://afraf.oxfordjournals.org/
0001-9992	http://www.jstor.org/journals/00019992.html
0002-0397	http://www.duei.de/index.php?file=z_af_spectrum.html&folder=publikationen
0002-0443	http://content.wkhealth.com/linkback/openurl?issn=0002-0443
0002-0729	http://ageing.oxfordjournals.org/
0002-0958	http://www.verduci.it/index.php?pag=periodico&id_vol=738
0002-1407	http://www.jsbba.or.jp/02/kaishi_tougou.html
0002-1466	http://www.emeraldgrouppublishing.com/afr.htm
0002-1482	http://www.ucpressjournals.com/journalSoc.asp?jIssn=0002-1482
0002-1490	http://www.bahs.org.uk/agrev.htm
0002-1571	http://www.sciencedirect.com/science/journal/00021571
0002-1962	http://agron.scijournals.org
0002-4619	http://www.mnhn.fr/assoc/seof/revue.htm
0002-4678	http://lawreview.als.edu/
0002-4805	http://www.education.ualberta.ca/educ/journals/ajer.html
0002-502X	http://www.alcoholism.kbsm.hr/
0002-5100	http://www.sigmaaldrich.com/Brands/Aldrich/Aldrichimica_Acta.html
0002-5151	http://www.imbiomed.com/1/1/articulos.php?method=showIndex&id_revista=12
0002-5232	http://www.springerlink.com/openurl.asp?genre=journal&issn=0002-5232
0002-5240	http://www.springeronline.com/journal/00012/about
0002-5852	http://www.sauerlaender-verlag.com/de/pub1.html
0002-5917	http://www.a-p-r.de/
0002-6018	http://www.springerlink.com/openurl.asp?genre=journal&issn=0002-6018
0002-6417	http://www.elsevier.com/wps/find/journaldescription.cws_home/707231/description
0002-6980	http://www.maney.co.uk/search?fwaction=show&fwid=468
0002-7014	http://www.apaleontologica.org.ar/contenido/paginaeng.php
0002-7138	http://www.sciencedirect.com/science/journal/00027138
0002-7162	http://ann.sagepub.com/
0002-7189	http://jaar.oxfordjournals.org/
0002-726X	http://muse.jhu.edu/journals/aad/
0002-7316	http://www.saa.org/Publications/AmAntiq/amantiq.html
0002-7642	http://abs.sagepub.com/
0002-7685	http://www.bioone.org/bioone/?request=get-moreinfo&issn=0002-7685
0002-7766	http://www.blackwellpublishing.com/journal.asp?ref=0002-7766
0002-7812	http://www.ceramicbulletin.org
0002-7820	http://www.blackwellpublishing.com/journal.asp?ref=0002-7820
0002-7863	http://pubs.acs.org/journals/jacsat/index.html
0002-7979	http://acd.org/publications.htm
0002-8045	http://www.facs.org/fellows_info/bulletin/bullet.html
0002-8177	http://www.sciencedirect.com/science/journal/00028177
0002-8223	http://www.sciencedirect.com/science/journal/00028223
0002-8231	http://www.interscience.wiley.com/jpages/0002-8231/
0002-8282	http://www.aeaweb.org/aer/
0002-8312	http://www.aera.net/publications/?id=315
0002-8320	http://www.ansp.org/hosted/aes/publications.html
0002-838X	http://www.aafp.org/afp/
0002-8444	http://www.bioone.org/bioone/?request=get-moreinfo&issn=0002-8444
0002-8487	http://afs.allenpress.com/perlserv/?request=get-moreinfo&issn=1548-8659
0002-8541	http://www.americanforests.org/productsandpubs/magazine/
0002-8614	http://www.blackwellpublishing.com/journal.asp?ref=0002-8614
0002-8703	http://www.sciencedirect.com/science/journal/00028703
0002-8711	http://www.vtol.org/journal/
0002-8738	http://www.americanheritage.com/magazine/
0002-8762	http://www.historycooperative.org/ahrindex.html
0002-8894	http://www.informaworld.com/openurl?genre=journal&issn=0002-8894
0002-8916	http://www.inkmakeronline.com/
0002-9092	http://www.blackwellpublishing.com/journal.asp?ref=0002-9092
0002-9122	http://www.amjbot.org
0002-9149	http://www.sciencedirect.com/science/journal/00029149
0002-9157	http://www.asch.net/ajch.htm
0002-9165	http://www.ajcn.org
0002-9173	http://www.medscape.com/viewpublication/73_index
0002-919X	http://www.comparativelaw.org/journal.html
0002-9238	http://www.ingentaconnect.com/content/0002-9238
0002-9246	http://www.blackwellpublishing.com/journal.asp?ref=0002-9246
0002-9254	http://www.ajevonline.org
0002-9262	http://aje.oxfordjournals.org/
0002-9270	http://www.blackwellpublishing.com/journal.asp?ref=0002-9270
0002-9297	http://www.sciencedirect.com/science/journal/00029297
0002-9300	http://www.asil.org/resources/ajil.html
0002-9319	http://www.jstor.org/journals/00029319.html
0002-9327	http://muse.jhu.edu/journals/ajm/
0002-9343	http://www.sciencedirect.com/science/journal/00029343
0002-936X	http://content.wkhealth.com/linkback/openurl?issn=0002-936X
0002-9378	http://www.sciencedirect.com/science/journal/00029378
0002-9394	http://www.sciencedirect.com/science/journal/00029394
0002-9416	http://www.sciencedirect.com/science/journal/00029416
0002-9432	http://www.apa.org/journals/ort.html
0002-9440	http://www.sciencedirect.com/science/journal/00029440
0002-9459	http://www.ajpe.org/default.asp
0002-9475	http://muse.jhu.edu/journals/ajp/
0002-9483	http://www.interscience.wiley.com/jpages/0002-9483/
0002-9505	http://ojps.aip.org/ajp
0002-9513	http://ajplegacy.physiology.org
0002-953X	http://ajp.psychiatryonline.org/
0002-9548	http://www.springeronline.com/journal/11231/about
0002-9556	http://www.press.uillinois.edu/journals/ajp.html
0002-9564	http://www.ajp.org
0002-9599	http://www.ajsonline.org/
0002-9602	http://www.journals.uchicago.edu/openurl?genre=journal&stitle=ajs
0002-9610	http://www.sciencedirect.com/science/journal/00029610
0002-9629	http://www.sciencedirect.com/science/journal/00029629
0002-9637	http://www.ajtmh.org
0002-9645	http://www.avma.org/publications/ajvr/ajvr_about.asp
0002-9726	http://www.leatherchemists.org/alca_journal.asp
0002-9890	http://www.jstor.org/journals/00029890.html
0002-9920	http://www.ams.org/notices/
0002-9939	http://www.ams.org/proc/
0002-9947	http://www.ams.org/tran/
0003-0007	http://ams.allenpress.com/amsonline/?request=get-archive&issn=1520-0477
0003-0023	http://www.jstor.org/journals/00030023.html
0003-0031	http://www.bioone.org/bioone/?request=get-moreinfo&issn=0003-0031
0003-004X	http://ammin.geoscienceworld.org/
0003-0082	http://www.bioone.org/bioone/?request=get-moreinfo&issn=0003-0082
0003-0090	http://library.amnh.org/pubs/bulletin.html
0003-0147	http://www.journals.uchicago.edu/openurl?genre=journal&stitle=an
0003-021X	http://www.aocs.org/press/jtoc.asp?journal=1
0003-0279	http://www.umich.edu/%7Eaos/frntmtr.htm
0003-0481	http://people.cohums.ohio-state.edu/tennant9/apq.html
0003-049X	http://www.aps-pub.com/proceedings.htm
0003-0554	http://journals.cambridge.org/action/displayJournal?jid=PSR
0003-0651	http://www.apsa.org/PUBLICATIONS/JAPA/tabid/60/Default.aspx
0003-066X	http://www.apa.org/journals/amp.html
0003-0678	http://muse.jhu.edu/journals/aq/
0003-0805	http://ajrccm.atsjournals.org/
0003-0996	http://www.americanscientist.org/
0003-1062	http://journal.ashspublications.org/
0003-1224	http://www.jstor.org/journals/00031224.html
0003-1232	http://transactionpub.metapress.com/openurl.asp?genre=journal&issn=0003-1232
0003-1283	http://americanspeech.dukejournals.org/
0003-1305	http://www.amstat.org/publications/tas/
0003-1348	http://www.sesc.org/TAS/Journal.htm
0003-1453	http://www.wcl.american.edu/journal/ilr/
0003-1488	http://www.avma.org/publications/javma/javma_about.asp
0003-150X	http://www.awwa.org/communications/journal
0003-1569	http://icb.oxfordjournals.org/
0003-2409	http://www.blackwellpublishing.com/journal.asp?ref=0003-2409
0003-2417	http://www.springeronline.com/journal/00101/about
0003-2573	http://analisesocial.ics.ul.pt
0003-2654	http://www.rsc.org/Publishing/Journals/AN/
0003-2670	http://www.sciencedirect.com/science/journal/00032670
0003-2697	http://www.sciencedirect.com/science/journal/00032697
0003-2700	http://pubs.acs.org/journals/ancham/index.html
0003-2719	http://www.informaworld.com/openurl?genre=journal&issn=00032719
0003-276X	http://www.interscience.wiley.com/jpages/0003-276X/
0003-2778	http://www.sciencedirect.com/science/journal/00032778
0003-2999	http://www.anesthesia-analgesia.org
0003-3006	http://www.anesthesiaprogress.org/
0003-3022	http://content.wkhealth.com/linkback/openurl?issn=0003-3022
0003-3049	http://www.eska.fr/revues/revue2.htm
0003-3146	http://www.interscience.wiley.com/jpages/0003-3146/
0003-3170	http://www.sciencedirect.com/science/journal/00033170
0003-3197	http://ang.sagepub.com/
0003-3219	http://www.angle.org/anglonline/?request=get-archive&issn=0003-3219
0003-3472	http://www.sciencedirect.com/science/journal/00033472
0003-3790	http://www.informaworld.com/openurl?genre=journal&issn=00033790
0003-3804	http://www.interscience.wiley.com/jpages/0003-3804/
0003-3847	http://www.sekj.org/AnnBot.html
0003-3898	http://www.john-libbey-eurotext.fr/en/revues/bio_rech/abc/e-docs/00/00/00/05/revue.md?type=text.html
0003-3928	http://www.sciencedirect.com/science/journal/00033928
0003-3944	http://www.sciencedirect.com/science/journal/00033944
0003-3995	http://www.sciencedirect.com/science/journal/00033995
0003-4010	http://www.armand-colin.com/revues_info.php?idr=5
0003-4088	http://www.intjlim.ups-tlse.fr/index.php
0003-410X	http://www.e2med.com/AMI
0003-4118	http://www.facmv.ulg.ac.be/amv/
0003-4169	http://www.edpsciences.org/journal/index.cfm?edpsname=anphys
0003-424X	http://www.edpsciences.org/journal/index.cfm?edpsname=animres
0003-4266	http://www.sciencedirect.com/science/journal/00034266
0003-4347	http://at.revuesonline.com/
0003-438X	http://www.sciencedirect.com/science/journal/0003438X
0003-4401	http://www.elsevier.com/locate/issn/00034401
0003-4487	http://www.sciencedirect.com/science/journal/00034487
0003-4509	http://www.sciencedirect.com/science/journal/00034509
0003-4541	http://www.miiz.waw.pl/periodicals/annales-zoologici/index.php?lk=ind&jk=en
0003-455X	http://www.sekj.org/AnnZool.html
0003-4592	http://www3.interscience.wiley.com/cgi-bin/jhome/107636969
0003-469X	http://www4.infotrieve.com/journals/toc_yearnav.asp?SID=742328
0003-4746	http://www.ingentaselect.com/rpsv/cw/aab/00034746/contp1.htm
0003-4800	http://www.blackwellpublishing.com/journal.asp?ref=0003-4800
0003-4819	http://www.annals.org
0003-4843	http://www.sciencedirect.com/science/journal/00034843
0003-486X	http://www.emis.de/journals/Annals
0003-4878	http://annhyg.oxfordjournals.org/
0003-4894	http://www.annals.com/
0003-4916	http://www.sciencedirect.com/science/journal/00034916
0003-4932	http://content.wkhealth.com/linkback/openurl?issn=0003-4932
0003-4967	http://ard.bmjjournals.com
0003-4975	http://www.sciencedirect.com/science/journal/00034975
0003-4983	http://www.maney.co.uk/search?fwaction=show&fwid=142
0003-5017	http://www.sciencedirect.com/science/journal/00035017
0003-5033	http://annee.psychologique.googlepages.com/
0003-5459	http://www.wlu.ca/press/Journals/anthro/index.shtml
0003-5483	http://www.indiana.edu/~anthling/al_index.html
0003-5491	http://muse.jhu.edu/journals/anq/
0003-5521	http://www.sciencedirect.com/science/journal/00035521
0003-5548	http://www.schweizerbart.de/j/anthropologischer-anzeiger/
0003-5599	http://emeraldinsight.com/acmm.htm
0003-5696	https://www.degruyter.com/view/j/anti
0003-598X	http://antiquity.ac.uk/
0003-6056	http://www.abanet.org/antitrust/at-journal/
0003-6072	http://www.springeronline.com/journal/10482/about
0003-6420	http://www.aperture.org/store/magazines-browse-title.aspx
0003-6781	http://www.appliance.com/
0003-682X	http://www.sciencedirect.com/science/journal/0003682X
0003-6838	http://www.springeronline.com/journal/10438/about
0003-6846	http://www.informaworld.com/openurl?genre=journal&issn=00036846
0003-6862	http://www.jstage.jst.go.jp/browse/aez/
0003-6870	http://www.sciencedirect.com/science/journal/00036870
0003-6900	http://asmedl.aip.org/AMR/
0003-6951	http://ojps.aip.org/aplo
0003-6994	http://www.springerlink.com/openurl.asp?genre=journal&issn=0003-6994
0003-701X	http://www.allertonpress.com/journals/ase.htm
0003-7028	http://www.s-a-s.org/journal/journal.htm
0003-7982	https://www.degruyter.com/view/j/arca
0003-813X	http://www.blackwellpublishing.com/journal.asp?ref=0003-813X
0003-8504	http://www.interscience.wiley.com/jpages/0003-8504/
0003-858X	http://www.archrecord.com
0003-8628	http://www.arch.usyd.edu.au/asr/
0003-889X	http://www.springeronline.com/journal/00013/about
0003-8970	http://www.esv.info/zeitschriften.php?z=archiv
0003-9012	http://www.springerlink.com/openurl.asp?genre=journal&issn=0304-8608
0003-9039	http://www.springeronline.com/journal/00202/about
0003-9098	http://www.archiv-fuer-gefluegelkunde.de/
0003-9101	https://www.degruyter.com/view/j/agph
0003-9136	http://www.schweizerbart.de/j/archiv-hydrobiologie/
0003-925X	http://www.schaper-verlag.de/probeabo/
