scopus_id	issn_type	issn	linking_issn
12000	print	1527-6228	1527-6228
12001	print	0022-5002	0022-5002
12002	electronic	1520-6696	0022-5061
12002	print	0022-5061	0022-5061
12004	electronic	1529-9740	1529-9732
12004	print	1529-9732	1529-9732
12005	electronic	1573-6598	0894-9867
12005	print	0894-9867	0894-9867
12006	electronic	1095-9084	0001-8791
12006	print	0001-8791	0001-8791
12007	print	0039-0690	0039-0690
12008	electronic	2064-8251	0018-7828
12008	print	0018-7828	0018-7828
12009	print	0942-6051	0942-6051
12010	electronic	1545-2085	0066-4308
12010	print	0066-4308	0066-4308
12012	print	1053-2528	1053-2528
12013	print	0484-8616	0484-8616
12014	print	0066-5126	0066-5126
12016	electronic	1205-7533	0706-652X
12016	print	0706-652X	0706-652X
12018	print	1092-9541	1092-9541
12019	print	1543-2009	1543-2009
12020	print	1061-5806	1061-5806
12021	print	0276-8291	0276-8291
12023	print	0962-1849	0962-1849
12024	electronic	1099-0720	0888-4080
12024	print	0888-4080	0888-4080
12025	electronic	1439-3816	0937-289X
12025	print	0937-289X	0937-289X
12027	print	0021-5015	0021-5015
12028	print	0146-6216	0146-6216
12029	print	0269-994X	0269-994X
12030	electronic	1543-4508	1543-4494
12030	print	1543-4494	1543-4494
12031	print	0049-0385	0049-0385
12033	print	1612-3433	1612-3433
12034	print	0043-2245	0043-2245
12035	print	0043-2253	0043-2253
12036	print	0192-1878	0192-1878
12037	print	0043-2288	0043-2288
12039	print	0263-1008	0263-1008
12040	print	0043-2296	0043-2296
12041	electronic	1573-3270	1090-0586
12041	print	1090-0586	1090-0586
12042	print	1355-3259	1355-3259
12043	print	0826-4805	0826-4805
12044	print	0933-3347	0933-3347
12045	print	1414-3283	1414-3283
12046	print	0043-2318	0043-2318
12047	print	0043-2326	0043-2326
12048	print	0262-642X	0262-642X
12049	print	0288-4771	0288-4771
12050	print	0044-1902	0044-1902
12051	print	0044-6009	0044-6009
12053	print	1381-1118	1381-1118
12054	print	0197-4556	0197-4556
12055	electronic	1467-839X	1367-2223
12055	print	1367-2223	1367-2223
12056	print	0275-5319	0275-5319
12057	electronic	1532-785X	1521-3269
12057	print	1521-3269	1521-3269
12058	print	1073-1911	1073-1911
12059	electronic	1464-0686	0965-8211
12059	print	0965-8211	0965-8211
