main_publisher_slug	n_journals	main_publisher	name_variants
1105-media-inc	1	1105 Media Inc.	1
3g-publishing	1	3G Publishing	1
4s-go-s-r-o	1	4S go, s.r.o	1
a-a-balkema	3	A.A. Balkema	1
a-and-v-publication	1	A and V Publication	1
a-b-academic-publishers	8	A B Academic Publishers	1
a-b-b-corporate-management-services-ag	3	A B B Corporate Management Services AG	1
a-c-t-press	1	A C T Press	1
a-colin	5	A. Colin	1
a-d-a-c	3	A.D.A.C.	1
a-d-von-publishers	1	A.D. Von Publishers	1
a-e-f-m-u-p-alameda-prof-h-montiero	1	A E F M U P, Alameda prof. H. Montiero	1
a-e-morgan-publications-ltd	1	A.E. Morgan Publications Ltd.	1
a-escola	1	A Escola	1
a-hidalgo	1	A. Hidalgo	1
a-k-sharma-ed-pub	1	A.K. Sharma, Ed. & Pub.	1
a-liga	1	A Liga	1
a-maisonneuve	1	A. Maisonneuve	1
a-p-publications-ltd	2	A.P. Publications Ltd.	1
a-s-b-l-degres	1	A.S.B.L. Degres	1
a-yu-krymskyi-institute-of-oriental-studies-of-the-national-academy-of-sciences-of-ukraine	2	A. Yu. Krymskyi Institute of Oriental Studies of the National Academy of Sciences of Ukraine	1
aaas-press-of-chinese-society-of-aeronautics-and-astronautics	1	AAAS Press of Chinese Society of Aeronautics and Astronautics	1
aace-international	1	AACE International	1
aagr-aerosol-and-air-quality-research	1	AAGR Aerosol and Air Quality Research	1
aalborg-university-press	3	Aalborg University Press	1
aalto-yliopisto-rakennustekniikan-laitos	1	Aalto-yliopisto - Rakennustekniikan laitos	1
aana-publishing-inc	1	AANA Publishing Inc.	1
aapm-american-association-of-physicists-in-medicine	1	AAPM - American Association of Physicists in Medicine	1
aarhus-university-press	1	Aarhus University Press	1
aascp-press	1	AASCP Press	1
ab-imperio	1	Ab Imperio	1
abadia-de-montserrat	1	Abadia de Montserrat	1
abbey-publications-inc	1	Abbey Publications, Inc.	1
abc-clio	1	ABC-CLIO	1
abc-press-publishing-house	2	ABC-press Publishing House	1
abc-verlag	2	ABC Verlag	1
abcd-diabetes-care-ltd	1	ABCD (Diabetes Care) Ltd	1
abdij-nazareth	1	Abdij Nazareth	1
abdullah-kuzu	1	Abdullah Kuzu	1
abdus-salam-school-of-mathematical-sciences-gc-university	1	Abdus Salam School of Mathematical Sciences, GC University	1
aberdeen-group	4	Aberdeen Group	1
abi-inform-global	2	ABI/INFORM Global	1
abi-professional-publications	1	ABI Professional Publications	1
ablex-pub-corp	1	Ablex Pub. Corp	1
abo-akademi-university	1	Abo Akademi University	1
abpol	1	ABPol	1
abv-press-publishing-house-llc	6	ABV-press Publishing house, LLC	1
abvanced-technology-publications	1	Abvanced Technology Publications	1
acad-organisation-environmental-engineering-sustainable-development	1	Acad Organisation Environmental Engineering & Sustainable Development	1
academia-brasileira-de-ciencias	1	Academia Brasileira de Ciencias	1
academia-colombiana-de-historia	1	Academia Colombiana de Historia	1
academia-de-ciencias-medicas-de-bilbao	2	Academia de Ciencias Medicas de Bilbao	1
academia-de-stiinte-a-republicii-moldova	1	Academia de Stiinte a Republicii Moldova	1
academia-medica-bialostocensis	2	Academia Medica Bialostocensis	1
academia-mexicana-de-neurologia	1	Academia Mexicana de Neurologia	1
academia-nacional-de-medicina	2	Academia Nacional de Medicina	1
academia-panamena-de-medicina-y-cirugia	1	Academia Panamena de Medicina y Cirugia	1
academia-peruana-de-cirugia	2	Academia Peruana de Cirugia	1
academia-romana	2	Academia Romana	1
academia-sinica	7	Academia Sinica	1
academia-verlag	1	Academia-Verlag	1
academic-conferences-and-publishing-international	1	Academic Conferences and Publishing International	1
academic-educational-forum-on-international-relations	1	Academic Educational Forum on International Relations	1
academic-journals	32	Academic Journals	1
academic-mexicana-de-cirugia	1	Academic Mexicana de Cirugia	1
academic-mind	1	Academic Mind	1
academic-press	3	Academic Press	1
academic-printing-and-publishing	1	Academic Printing and Publishing	1
academic-publication-council	1	Academic Publication Council	1
academic-publications-ltd	3	Academic Publications Ltd.	1
academic-publishing-center-infra-m	1	Academic Publishing Center INFRA - M	1
academic-publishing-house	1	Academic Publishing House	1
academic-publishing-house-researcher	2	Academic Publishing House Researcher	1
academic-publishing-limited	2	Academic Publishing Limited	1
academic-research-publishing-group	1	Academic Research Publishing Group	1
academic-royale-de-medecine-de-belgique	3	Academic Royale de Medecine de Belgique	1
academic-studies-press	1	Academic Studies Press	1
