journal_nlm_id	scopus_id
0000201	72678
0000211	40958
0000216	34754
0000220	19700186346
0000266	16656
0001027	12547
0001061	24682
0001470	61756
0002045	19400158225
0002256	22756
0002266	55233
0002442	14515
0003044	79067
0003163	17693
0003403	38579
0004041	24267
0004047	12773
0004047	21100802713
0004334	19500157716
0004455	26302
0004653	17727
0004704	52265
0004743	29138
0005130	40492
0005327	29226
0005331	21483
0005735	29291
0006226	23471
0006252	14864
0006276	100147030
0006440	24315
0006723	12445
0006761	14987
0006762	92555
0006777	25584
0007275	17995
0007305	19600162035
0007506	31424
0007616	19798
0010333	28023
0010505	28350
0010615	53819
00110640R	16096
0011363	55496
0012330	13331
0012445	14017
0012737	16318
0013103	24139
0013105	37506
0013243	19700187304
0013255	16116
0013260	100766
0013747	19700186300
0014016	5800224123
0014030	12198
00140360R	15732
0014051	21448
0014052	20614
0014060	25882
0014067	22564
0014133	14519
0014157	19400157905
0014162	16805
0014171	30039
0014207	26178
0014210	20385
0015266	98351
0015376	28301
0016262	27648
0017314	19032
0017501	21100855866
0020712	35845
0020713	18009
0021263	29307
0021406	18355
0022210	19400157942
0022370	15660
0022623	16916
0022726	93340
0023271	68875
0023416	14251
0023525	14247
0023623	65007
0023661	23495
0024046	19181
0024675	19700186343
0024731	92990
0024737	22013
0024764	21508
0025770	18827
0026251	22212
0027176	5600155101
0027440	19544
0027704	19600162036
0027707	16589
0031164	19552
0031351	24584
0031550	18934
0032075	19500157435
0032151	21442
0032352	35486
0032510	57732
0032666	53304
0033040	85636
0033046	15343
0033334	38135
0033335	55394
0033336	86892
0033360	19400158117
0033370	25394
0033401	22010
0033620	19600162700
0034270	38318
0034351	13295
0034461	15300154844
0034461	15370
0034470	19500157476
0035523	19400157968
0035623	19963
0035665	26649
0036665	20113
0037265	51117
0037276	14432
0037353	21286
0040021	19425
0040250	33905
0040752	13546
0040752	32822
0040752	39988
0042005	17969
0042033	28828
0042116	79940
0042124	29873
0042143	89041
0042334	63688
0042365	9500154023
0042510	16806
0042624	13415
0042671	34795
0042715	14030
0043110	61935
0043125	26950
0043147	29443
0043175	22338
0043246	7100153101
0043264	21213
0043306	17456
0043312	15585
0043417	30698
0043523	78877
0043524	21630
0043533	24289
0043535	25803
0043541	20308
0043545	19408
0043617	17500155106
0043732	24844
0043764	21981
0044034	20847
0044263	16763
0044350	36571
0044500	33839
0044610	28750
0044637	67239
0044652	13947
0044671	13072
0045130	35694
0045233	15831
0045312	13766
0045332	15499
0045335	20414
0045377	17194
0045503	14346
0045506	23649
0045507	40167
0045533	82216
0045606	40311
0045677	72722
0045715	17167
0045747	20145
0046021	24624
0046027	28847
0046052	12711
0047061	29003
0047103	23063
0047142	36608
0047354	22198
0047421	68437
0047441	16577
0047670	12155
0047723	19628
0047757	25815
0050006	25824
0050115	50205
0050202	29602
0050222	23455
0050303	30074
0050452	13516
0050556	27037
0050610	32885
0050620	21364
0050636	110166
0050677	9500153911
0050734	96570
0050772	18484
0051012	19657
0051104	58463
0051420	33333
0051531	21100943507
0051574	18959
0051757	14543
0052457	18556
0052631	21712
0052704	93052
0053006	13408
0053225	19600157929
0053252	17896
0053303	25897
0053353	15302
0053462	15540
0054202	92381
0054204	22955
0054211	94841
0054655	14635
0055030	24733
0055107	26171
0055201	13361
0055203	29547
0055371	61354
0055427	38273
0055467	71279
0055616	23690
0055635	6500153156
0056011	17363
0056272	66289
0056471	20617
0056517	94098
0057113	75566
0057161	98498
0057202	20734
0057204	98352
0057664	29752
0057730	100437
0057764	22227
0060105	25364
0060433	15383
0060450	14123
0060610	31342
0060612	22438
0060677	18750
0060757	68356
0060760	62574
0061242	27729
0061331	17079
0061353	72906
0061476	67462
0061573	6400153163
0061651	94030
0062434	27890
0062647	30084
0062702	63633
0063012	18649
0063413	37018
0063417	19494
0063501	81790
0063733	15448
0064143	4100151532
0064145	13972
0064224	16960
0064302	15726
0064362	77471
0064572	96873
0064717	13013
0064757	19389
0065217	12597
0065255	23808
0065324	28674
0065346	20404
0065371	16322
0065750	21879
0066040	37501
0066127	23850
0066175	19500157725
0066413	56024
0066472	79174
0066560	22804
0066654	24880
0066751	21744
0067206	16945
0067335	13441
0067507	29996
0067662	24247
0067712	69845
0067753	24270
0070014	12645
0070154	18749
0070163	52600
0070205	18557
0070414	28648
0070454	13631
0071033	77491
0071035	16340
0071414	64228
0071431	19400157983
0072265	50117
0072416	28771
0072456	42000
0073130	80487
0073267	28223
0073340	27355
0073354	59965
0074071	33117
0074126	53831
0074243	19195
0074253	17106
0074364	23044
0075674	29603
0076003	17128
0076033	18634
0076224	22309
0076274	68473
0076362	60484
0077011	23451
0077340	20230
0077427	22570
0077707	21310
0100036	25991
0100331	36523
0100626	26094
0100714	15754
0100725	14945
0100762	18282
0100776	30410
0100776	33806
0101032	20063
0101051	57432
0101101	40500
0101102	24532
0101123	21783
0101265	17524
0101303	17602
0101352	78427
0101370	33489
0101671	21100829278
0101672	22998
0102300	75521
0102444	29580
0102505	61306
0102753	13074
0103071	82582
0103130	15645
0103146	24562
0103277	95837
0103314	18683
0103374	24388
0103677	84430
0104315	54651
0104316	16843
0105051	13172
0105072	18795
0105422	66758
0105454	14178
0106331	36252
0106577	19700186179
0106612	25775
0107166	52058
0107170	31635
0107305	14896
0107600	38597
0107600	39034
0107652	21100874226
0107714	32921
0110513	19671
0110543	29031
0110554	13192
0110672	17666
0110674	20886
0111052	14250
0111273	67179
0111356	13175
0111656	14634
0112037	20767
0112040	29865
0112055	99345
0112250	12757
0112725	22626
0112726	35298
0113124	55934
0113302	20961
0113632	69813
0113724	20250
0114314	18151
0114314	65354
0114365	20652
0114414	73927
0114501	20510
0115534	28409
0116711	24634
0116717	22240
0116732	16781
0116744	25391
0117147	19602
0117156	22105
0117250	14048
0117263	28128
0117447	19400158044
0117605	21706
0117627	22224
0117635	26868
0117710	52437
0120133	110015
0120300	110256
0120676	68469
0120775	17847
0121020	23420
01210290R	13351
0121103	26761
0121343	35051
0121375	110236
0121502	18823
0121503	29900
0122172	16205
0122304	13449
0123003	18130
0123071	18240
0123303	56509
0123326	12989
0123544	95697
0123567	38038
0123640	31876
0123667	23800
0123703	17859
0124043	67602
0124434	20312
0124462	88840
0125036	32876
0125052	67916
0125444	14224
0125544	16692
0125712	37396
0126513	18615
0126611	21745
0127322	21100877821
0127416	19767
0130067	18062
0130266	25952
0131463	14153
0132144	19278
0132243	18165
0132263	92301
0132575	40256
0133626	28274
0133660	16954
0134233	84173
0134451	85468
0134456	19600163900
0134516	21950
0134541	97557
0134543	5000155602
0135043	22596
0135054	12554
0135063	40155
0135125	10600153371
0135226	80994
0135232	24261
0135240	77835
0135256	55519
0135416	24460
0135425	96470
0135645	39229
0135654	21215
0135751	12808
0135774	91780
0136414	21386
0136421	15100
0136501	33673
0136516	75667
0136541	21824
0136553	15439
0136554	16772
0136646	87046
0137162	29542
0137356	18627
0137461	19500157516
0137736	29799
0140107	110335
0140243	30823
0140423	100881
0140446	17356
0140524	28615
0140623	38997
0140655	96193
0140672	28203
0140673	26681
0140721	51522
0140722	20468
0141053	25419
0141233	28717
0141343	64766
0141653	52130
0141730	20236
0141747	24642
0142100	28564
0142101	67085
0142167	22442
0142214	20759
0142220	27640
0142530	36984
0142657	18747
0143027	95231
0143116	19400158190
0143406	19400158000
0143622	37885
0144032	14913
0144042	14309
0144065	16900154707
0144065	31113
0144220	20954
0144510	19400158230
0144554	19976
0144731	20570
0145600	19046
0145623	62012
0145706	38184
0146540	42057
0146564	50067
0146631	21101
0147107	22169
0147110	18386
0147371	97637
0147621	21524
0147634	73741
0147664	90379
0147763	22581
0150034	110182
0150372	12925
0150472	28297
0150531	39109
0150616	15458
0150760	15575
0150761	35779
0150763	75949
