scopus_id	asjc_code	asjc_description
12000	1700	Computer Science
12000	3300	Social Sciences
12001	2800	Neuroscience
12001	3200	Psychology
12002	1200	Arts and Humanities
12002	3200	Psychology
12004	2700	Medicine
12004	3200	Psychology
12005	2700	Medicine
12005	3200	Psychology
12006	1400	Business, Management and Accounting
12006	3200	Psychology
12006	3300	Social Sciences
12007	2700	Medicine
12008	2000	Economics, Econometrics and Finance
12008	2600	Mathematics
12008	3300	Social Sciences
12009	2700	Medicine
12009	3200	Psychology
12010	3200	Psychology
12012	3200	Psychology
12012	3300	Social Sciences
12013	1200	Arts and Humanities
12013	3300	Social Sciences
12014	2700	Medicine
12014	3200	Psychology
12016	1100	Agricultural and Biological Sciences
12018	2500	Materials Science
12019	1400	Business, Management and Accounting
12020	1200	Arts and Humanities
12020	2700	Medicine
12020	3200	Psychology
12021	1500	Chemical Engineering
12023	2700	Medicine
12023	3200	Psychology
12024	1200	Arts and Humanities
12024	3200	Psychology
12025	2700	Medicine
12027	3200	Psychology
12027	3300	Social Sciences
12028	3200	Psychology
12028	3300	Social Sciences
12029	1200	Arts and Humanities
12029	3200	Psychology
12030	2800	Neuroscience
12030	3200	Psychology
12031	2700	Medicine
12033	2200	Engineering
12033	2500	Materials Science
12034	2200	Engineering
12035	2200	Engineering
12035	2500	Materials Science
12036	2500	Materials Science
12037	2200	Engineering
12037	2500	Materials Science
12038	2200	Engineering
12039	1400	Business, Management and Accounting
12040	2200	Engineering
12040	2500	Materials Science
12041	3200	Psychology
12042	2700	Medicine
12042	3200	Psychology
12043	1200	Arts and Humanities
12043	3300	Social Sciences
12044	2700	Medicine
12045	3300	Social Sciences
12046	2200	Engineering
12047	2200	Engineering
12048	2200	Engineering
12049	2200	Engineering
12049	2500	Materials Science
12050	2200	Engineering
12051	2700	Medicine
12053	2700	Medicine
12053	3200	Psychology
12054	2700	Medicine
12054	3200	Psychology
12054	3600	Health Professions
12055	3200	Psychology
12055	3300	Social Sciences
12056	1400	Business, Management and Accounting
12056	2000	Economics, Econometrics and Finance
12057	3200	Psychology
12057	3300	Social Sciences
12058	3200	Psychology
12059	1200	Arts and Humanities
12059	3200	Psychology
12060	1400	Business, Management and Accounting
12060	3300	Social Sciences
12061	1200	Arts and Humanities
12061	3200	Psychology
12062	3200	Psychology
12062	3300	Social Sciences
12063	1900	Earth and Planetary Sciences
12063	2200	Engineering
12064	1900	Earth and Planetary Sciences
12065	1100	Agricultural and Biological Sciences
12066	2700	Medicine
12066	2900	Nursing
12067	1100	Agricultural and Biological Sciences
12067	1900	Earth and Planetary Sciences
12067	2300	Environmental Science
12068	1800	Decision Sciences
12068	2600	Mathematics
12069	1400	Business, Management and Accounting
12069	2500	Materials Science
12070	2700	Medicine
12070	3200	Psychology
12071	3300	Social Sciences
12072	3300	Social Sciences
12073	3300	Social Sciences
12074	1900	Earth and Planetary Sciences
12075	1400	Business, Management and Accounting
12075	2500	Materials Science
12076	1900	Earth and Planetary Sciences
12076	2300	Environmental Science
12079	1900	Earth and Planetary Sciences
12080	2700	Medicine
12082	3200	Psychology
12084	1200	Arts and Humanities
12084	3200	Psychology
12085	1200	Arts and Humanities
12085	3300	Social Sciences
12088	3200	Psychology
12089	3200	Psychology
12090	1900	Earth and Planetary Sciences
12091	1900	Earth and Planetary Sciences
12092	1900	Earth and Planetary Sciences
12093	1900	Earth and Planetary Sciences
12094	1800	Decision Sciences
12094	2600	Mathematics
12095	1900	Earth and Planetary Sciences
12095	3300	Social Sciences
12096	1900	Earth and Planetary Sciences
12098	1700	Computer Science
12099	3300	Social Sciences
12100	3300	Social Sciences
12101	3300	Social Sciences
12102	1200	Arts and Humanities
12102	3200	Psychology
12103	3200	Psychology
12104	3300	Social Sciences
12107	3200	Psychology
12108	1300	Biochemistry, Genetics and Molecular Biology
12108	2800	Neuroscience
12108	3200	Psychology
12109	2800	Neuroscience
12110	3200	Psychology
12110	3300	Social Sciences
12110	3600	Health Professions
12111	2700	Medicine
12111	3200	Psychology
12114	2200	Engineering
12114	2500	Materials Science
12115	3300	Social Sciences
12116	2200	Engineering
12116	2500	Materials Science
12116	3100	Physics and Astronomy
12117	1400	Business, Management and Accounting
12117	3300	Social Sciences
12118	2200	Engineering
12119	1800	Decision Sciences
12119	2600	Mathematics
12120	1800	Decision Sciences
12120	2600	Mathematics
12121	2500	Materials Science
12121	3100	Physics and Astronomy
12122	2800	Neuroscience
12123	2700	Medicine
12123	3200	Psychology
12123	3300	Social Sciences
12124	1700	Computer Science
12124	3300	Social Sciences
12125	1200	Arts and Humanities
12125	1700	Computer Science
12125	3200	Psychology
12125	3300	Social Sciences
12126	3200	Psychology
12127	2700	Medicine
12127	3200	Psychology
12128	2700	Medicine
12128	3200	Psychology
12129	2200	Engineering
12129	2500	Materials Science
12130	1200	Arts and Humanities
12130	2500	Materials Science
12131	1900	Earth and Planetary Sciences
12132	1900	Earth and Planetary Sciences
12133	2200	Engineering
12133	2500	Materials Science
12134	2600	Mathematics
12136	1800	Decision Sciences
12136	2600	Mathematics
12137	1700	Computer Science
12137	1800	Decision Sciences
12137	2600	Mathematics
12138	2200	Engineering
12138	2500	Materials Science
12139	1800	Decision Sciences
12139	2600	Mathematics
12139	3300	Social Sciences
12140	1800	Decision Sciences
12140	2600	Mathematics
12141	2200	Engineering
12141	3100	Physics and Astronomy
12142	1600	Chemistry
12142	3100	Physics and Astronomy
12145	2800	Neuroscience
12145	3200	Psychology
12147	1100	Agricultural and Biological Sciences
12147	2300	Environmental Science
12148	2200	Engineering
12148	2500	Materials Science
12149	2500	Materials Science
12152	2200	Engineering
12153	2200	Engineering
12153	3100	Physics and Astronomy
12154	2200	Engineering
12155	1600	Chemistry
12155	3100	Physics and Astronomy
12156	2200	Engineering
12156	2500	Materials Science
12156	3100	Physics and Astronomy
12157	1600	Chemistry
12157	2500	Materials Science
12157	3100	Physics and Astronomy
12159	3200	Psychology
12160	2200	Engineering
12160	2500	Materials Science
12160	3100	Physics and Astronomy
12162	1100	Agricultural and Biological Sciences
12163	1200	Arts and Humanities
12163	2800	Neuroscience
12163	3200	Psychology
12164	1200	Arts and Humanities
12164	2800	Neuroscience
12164	3200	Psychology
12164	3300	Social Sciences
12164	3600	Health Professions
12165	1100	Agricultural and Biological Sciences
12165	2300	Environmental Science
12166	1700	Computer Science
12166	2600	Mathematics
12167	1100	Agricultural and Biological Sciences
12167	2300	Environmental Science
12168	2200	Engineering
12169	1100	Agricultural and Biological Sciences
12169	2300	Environmental Science
12170	1700	Computer Science
12170	2200	Engineering
12170	2600	Mathematics
12171	2200	Engineering
12171	2500	Materials Science
12171	3100	Physics and Astronomy
12172	1900	Earth and Planetary Sciences
12174	2200	Engineering
12175	1900	Earth and Planetary Sciences
12175	2300	Environmental Science
12177	1900	Earth and Planetary Sciences
12177	2300	Environmental Science
12178	3100	Physics and Astronomy
12179	1300	Biochemistry, Genetics and Molecular Biology
12179	1600	Chemistry
12179	3100	Physics and Astronomy
12180	2200	Engineering
12180	3100	Physics and Astronomy
12181	3100	Physics and Astronomy
12182	1600	Chemistry
12182	3100	Physics and Astronomy
12183	2500	Materials Science
12183	3100	Physics and Astronomy
12184	2200	Engineering
12184	2600	Mathematics
12184	3100	Physics and Astronomy
12185	3100	Physics and Astronomy
12186	2700	Medicine
12187	2700	Medicine
12188	1700	Computer Science
12188	3300	Social Sciences
12189	1700	Computer Science
12189	2600	Mathematics
12190	2700	Medicine
12190	2900	Nursing
12191	2700	Medicine
12192	2700	Medicine
12192	3600	Health Professions
12193	1700	Computer Science
12193	2200	Engineering
12194	1300	Biochemistry, Genetics and Molecular Biology
12194	2700	Medicine
12195	1300	Biochemistry, Genetics and Molecular Biology
12195	2700	Medicine
12196	1300	Biochemistry, Genetics and Molecular Biology
12197	1700	Computer Science
12197	2600	Mathematics
12198	2700	Medicine
12199	2700	Medicine
12200	2200	Engineering
12201	2700	Medicine
12202	1600	Chemistry
12202	2200	Engineering
12202	2500	Materials Science
12203	1300	Biochemistry, Genetics and Molecular Biology
12203	2700	Medicine
12204	2200	Engineering
12204	2500	Materials Science
12205	3100	Physics and Astronomy
12206	3100	Physics and Astronomy
12207	1600	Chemistry
12207	3100	Physics and Astronomy
12208	2200	Engineering
12208	3100	Physics and Astronomy
12209	2200	Engineering
12209	3100	Physics and Astronomy
12210	1400	Business, Management and Accounting
12210	2200	Engineering
12210	3100	Physics and Astronomy
12211	2700	Medicine
12212	2700	Medicine
12213	1700	Computer Science
12214	2700	Medicine
12215	1300	Biochemistry, Genetics and Molecular Biology
12215	2700	Medicine
12216	1100	Agricultural and Biological Sciences
12216	1300	Biochemistry, Genetics and Molecular Biology
12217	1300	Biochemistry, Genetics and Molecular Biology
12217	2700	Medicine
12218	2700	Medicine
12218	3600	Health Professions
12219	2200	Engineering
12219	2500	Materials Science
12220	1300	Biochemistry, Genetics and Molecular Biology
12221	2200	Engineering
12222	1700	Computer Science
12223	3300	Social Sciences
12225	2200	Engineering
12225	3100	Physics and Astronomy
12226	2200	Engineering
12227	2200	Engineering
12227	3100	Physics and Astronomy
12228	2700	Medicine
12229	1300	Biochemistry, Genetics and Molecular Biology
12229	1600	Chemistry
12229	3100	Physics and Astronomy
12232	2700	Medicine
12233	2700	Medicine
12234	2700	Medicine
12235	2700	Medicine
12236	3500	Dentistry
12237	1700	Computer Science
12239	2700	Medicine
12240	2700	Medicine
12241	2200	Engineering
12242	2200	Engineering
12243	2200	Engineering
12243	2500	Materials Science
12244	2700	Medicine
12244	3300	Social Sciences
12245	3300	Social Sciences
12246	2200	Engineering
12247	3300	Social Sciences
12248	2700	Medicine
12249	1200	Arts and Humanities
12249	3100	Physics and Astronomy
12250	2200	Engineering
12250	2500	Materials Science
12250	3100	Physics and Astronomy
12252	2700	Medicine
12253	1400	Business, Management and Accounting
12253	2000	Economics, Econometrics and Finance
12253	3300	Social Sciences
12255	2700	Medicine
12256	3300	Social Sciences
12257	2700	Medicine
12259	2700	Medicine
12260	2700	Medicine
12261	2700	Medicine
12262	1700	Computer Science
12262	2600	Mathematics
12263	2200	Engineering
12263	2700	Medicine
12264	1700	Computer Science
12265	2700	Medicine
12266	2700	Medicine
12267	1700	Computer Science
12268	2200	Engineering
12268	2500	Materials Science
12269	1700	Computer Science
12269	2200	Engineering
12270	2500	Materials Science
12271	2200	Engineering
12272	2700	Medicine
12272	3600	Health Professions
12273	2700	Medicine
12273	3600	Health Professions
12274	2200	Engineering
12275	2200	Engineering
12276	2200	Engineering
12277	1400	Business, Management and Accounting
12277	1800	Decision Sciences
12277	2000	Economics, Econometrics and Finance
12278	2200	Engineering
12278	2500	Materials Science
12278	3100	Physics and Astronomy
12281	3300	Social Sciences
12282	2300	Environmental Science
12282	3300	Social Sciences
12283	3300	Social Sciences
12284	2500	Materials Science
12284	3100	Physics and Astronomy
12286	1600	Chemistry
12286	2500	Materials Science
12286	3100	Physics and Astronomy
12287	3100	Physics and Astronomy
12288	1700	Computer Science
12288	2500	Materials Science
12288	3100	Physics and Astronomy
12289	2500	Materials Science
12289	3100	Physics and Astronomy
12290	2700	Medicine
12292	2700	Medicine
12294	1700	Computer Science
12294	2200	Engineering
12294	3100	Physics and Astronomy
12295	1100	Agricultural and Biological Sciences
12295	1900	Earth and Planetary Sciences
12296	2700	Medicine
12297	2200	Engineering
12299	2900	Nursing
12300	1700	Computer Science
12300	2200	Engineering
12301	2200	Engineering
12301	2500	Materials Science
12302	2200	Engineering
12302	2500	Materials Science
12303	1400	Business, Management and Accounting
12303	1700	Computer Science
12303	1800	Decision Sciences
12305	1700	Computer Science
12306	2200	Engineering
12306	2500	Materials Science
12306	3100	Physics and Astronomy
12307	1900	Earth and Planetary Sciences
12307	2200	Engineering
12307	2500	Materials Science
12308	3300	Social Sciences
