scopus_id	active	open_access	main_publisher	source_type
12000	0	0	Columbus State University	Journal
12001	1	0	Wiley-Blackwell	Journal
12002	1	0	Wiley-Blackwell	Journal
12004	1	0	Taylor & Francis	Journal
12005	1	0	Wiley-Blackwell	Journal
12006	1	0	Elsevier	Journal
12007	0	0	Kozponti Statisztikai Hivatal	Journal
12008	1	0	Hungarian Central Statistical Office	Journal
12009	0	0	Verlag Klett-Cotta	Journal
12010	1	0	Annual Reviews Inc.	Journal
12012	0	0	Society for the Scientific Study of Sexuality	Journal
12013	1	0	Peeters Publishers	Journal
12014	1	1	Universitat de Barcelona	Journal
12016	1	0	NRC Research Press	Journal
12018	0	0	National Knitwear and Sportswear Association	Journal
12019	1	0	VNU Business Publications	Trade Journal
12020	1	0	Taylor & Francis	Journal
12021	0	0	Abbey Publications, Inc.	Trade Journal
12023	0	0	Elsevier	Journal
12024	1	0	Wiley-Blackwell	Journal
12025	0	0	Thieme	Journal
12027	1	0	Japanese Association of Education Psychology	Journal
12028	1	0	SAGE	Journal
12029	1	0	Wiley-Blackwell	Journal
12030	1	0	Springer nature	Journal
12031	0	0	Jewish Family & Life, Inc.	Journal
12033	1	0	D V S Verlag GmbH	Trade Journal
12034	0	0	Media Scores Ltd.	Trade Journal
12035	0	0	Penton Media, Inc.	Journal
12036	0	0	Shore-Varrone, Inc.	Journal
12037	1	0	Springer nature	Journal
12038	0	0	James F.Lincoln Arc Welding Foundation	Journal
12039	0	0	Cowise International Publishing Group	Journal
12040	1	0	American Welding Society	Journal
12041	1	0	Springer nature	Journal
12042	1	0	Wiley-Blackwell	Journal
12043	1	0	Springer nature	Journal
12044	0	0	Edition Diskord	Journal
12045	1	1	Nucleo de Comunicacao, Fundacao UNI	Journal
12046	0	0	Welding Research Council	Journal
12047	0	0	Welding Research Council	Journal
12048	0	0	DMG World Media Ltd	Journal
12049	1	0	Japan Welding Society/Yosetsu Gakkai	Journal
12051	0	0	Katholieke Universiteit Leuven	Journal
12053	1	0	Taylor & Francis	Journal
12054	1	0	Elsevier	Journal
12055	1	0	Wiley-Blackwell	Journal
12056	1	0	Elsevier	Journal
12057	1	0	Taylor & Francis	Journal
12058	1	0	SAGE	Journal
12059	1	0	Taylor & Francis	Journal
12060	0	0	University of Calgary Press	Journal
12061	1	0	Springer nature	Journal
12062	1	0	Springer nature	Journal
12063	1	0	China Meteorological Press	Journal
12064	1	0	Science Press	Journal
12065	1	0	Societe Francaise d'lchtyologie	Journal
12066	1	0	Elsevier	Journal
12067	1	0	Elsevier	Journal
12068	1	0	Wiley-Blackwell	Journal
12069	0	0	Canadian Apparel Federation	Trade Journal
12070	1	0	Taylor & Francis	Journal
12071	0	0	Editions Techniques et Economiques	Journal
12072	1	0	Elsevier	Journal
12073	1	0	Elsevier	Journal
12074	1	0	American Meteorological Society	Journal
12075	1	0	SAGE	Journal
12076	0	0	European Commission	Journal
12079	1	0	Universidad Nacional Autonoma de Mexico	Journal
12080	1	0	CSIRO	Journal
12082	1	0	Taylor & Francis	Journal
12084	1	0	Taylor & Francis	Journal
12085	1	0	Society of American Archivists	Journal
12088	1	0	Taylor & Francis	Journal
12089	0	0	Springer nature	Journal
12090	1	0	Taylor & Francis	Journal
12091	1	1	Copernicus	Journal
12092	1	0	Elsevier	Journal
12093	1	1	Wiley-Blackwell	Journal
12094	1	0	Taylor & Francis	Journal
12095	1	0	Taylor & Francis	Journal
12096	0	0	Bureau of Meteorology	Journal
12098	0	0	Wiley-Blackwell	Journal
12099	1	0	Wiley-Blackwell	Journal
12100	1	0	Taylor & Francis	Journal
12101	0	0	American Society for Information Science & Technology	Trade Journal
12102	1	0	SAGE	Journal
12103	0	0	Psychonomic Society Inc.	Journal
12104	1	0	Taylor & Francis	Journal
12107	1	0	Elsevier	Journal
12108	1	0	Cambridge University Press	Journal
12109	0	0	SAGE	Journal
12110	0	0	Manisses Communications Group Inc.	Journal
12111	1	0	Taylor & Francis	Journal
12115	1	0	IOS Press	Journal
12116	1	0	Institute of Electrical and Electronics Engineers	Journal
12117	1	0	Taylor & Francis	Journal
12118	0	0	Institute of Electrical Engineers	Journal
12119	1	0	Taylor & Francis	Journal
12120	1	0	Taylor & Francis	Journal
12121	1	0	Elsevier	Journal
12122	1	0	American Psychological Association	Journal
12123	1	0	Wiley-Blackwell	Journal
12124	0	0	Information Today, Inc.	Book Series
12125	1	0	Taylor & Francis	Journal
12126	1	0	Cambridge University Press	Journal
12127	1	0	Elsevier	Journal
12128	1	0	Cambridge University Press	Journal
12129	0	0	ASM International	Journal
12130	0	0	Historical Metallurgy Society Ltd.	Journal
