scopus_id	top_level_subject
12000	Physical Sciences
12000	Social Sciences
12001	Social Sciences
12002	Social Sciences
12004	Health Sciences
12004	Social Sciences
12005	Health Sciences
12005	Social Sciences
12006	Social Sciences
12007	Health Sciences
12009	Health Sciences
12009	Social Sciences
12010	Social Sciences
12012	Health Sciences
12013	Social Sciences
12014	Health Sciences
12014	Social Sciences
12018	Physical Sciences
12019	Social Sciences
12020	Health Sciences
12020	Social Sciences
12021	Physical Sciences
12023	Health Sciences
12023	Social Sciences
12024	Social Sciences
12025	Health Sciences
12027	Social Sciences
12028	Social Sciences
12029	Social Sciences
12030	Social Sciences
12031	Health Sciences
12033	Physical Sciences
12034	Physical Sciences
12035	Physical Sciences
12036	Physical Sciences
12037	Physical Sciences
12038	Physical Sciences
12039	Social Sciences
12040	Physical Sciences
12041	Social Sciences
12042	Health Sciences
12042	Social Sciences
12043	Social Sciences
12044	Health Sciences
12045	Social Sciences
12046	Physical Sciences
12047	Physical Sciences
12048	Physical Sciences
12049	Physical Sciences
12051	Health Sciences
12053	Health Sciences
12054	Health Sciences
12054	Social Sciences
12055	Social Sciences
12056	Social Sciences
12057	Social Sciences
12058	Social Sciences
12059	Health Sciences
12060	Social Sciences
12061	Social Sciences
12062	Social Sciences
12063	Physical Sciences
12064	Physical Sciences
12066	Health Sciences
12067	Physical Sciences
12068	Physical Sciences
12068	Social Sciences
12069	Physical Sciences
12069	Social Sciences
12070	Health Sciences
12070	Social Sciences
12071	Social Sciences
12072	Social Sciences
12073	Social Sciences
12074	Physical Sciences
12075	Physical Sciences
12075	Social Sciences
12076	Physical Sciences
12079	Physical Sciences
12080	Health Sciences
12082	Social Sciences
12084	Social Sciences
12085	Social Sciences
12088	Social Sciences
12089	Social Sciences
12090	Physical Sciences
12091	Physical Sciences
12092	Physical Sciences
12093	Physical Sciences
12094	Physical Sciences
12094	Social Sciences
12095	Physical Sciences
12095	Social Sciences
12096	Physical Sciences
12098	Physical Sciences
12099	Social Sciences
12100	Social Sciences
12101	Social Sciences
12102	Social Sciences
12103	Social Sciences
12104	Social Sciences
12107	Social Sciences
12108	Health Sciences
12108	Social Sciences
12110	Health Sciences
12110	Social Sciences
12111	Health Sciences
12111	Social Sciences
12115	Social Sciences
12116	Physical Sciences
12117	Social Sciences
12118	Physical Sciences
12119	Physical Sciences
12119	Social Sciences
12120	Physical Sciences
12120	Social Sciences
12121	Physical Sciences
12123	Health Sciences
12123	Social Sciences
12124	Physical Sciences
12124	Social Sciences
12125	Physical Sciences
12125	Social Sciences
12126	Social Sciences
12127	Health Sciences
12127	Social Sciences
12128	Social Sciences
12129	Physical Sciences
12130	Physical Sciences
12130	Social Sciences
12131	Physical Sciences
12132	Physical Sciences
12133	Physical Sciences
12134	Physical Sciences
12136	Physical Sciences
12136	Social Sciences
12137	Physical Sciences
12137	Social Sciences
12139	Physical Sciences
12139	Social Sciences
12140	Physical Sciences
12140	Social Sciences
12141	Physical Sciences
12142	Physical Sciences
12145	Social Sciences
12147	Physical Sciences
12148	Physical Sciences
12149	Physical Sciences
12152	Physical Sciences
12153	Physical Sciences
12154	Physical Sciences
12155	Physical Sciences
12156	Physical Sciences
12157	Physical Sciences
12159	Social Sciences
12160	Physical Sciences
12163	Social Sciences
12164	Health Sciences
12164	Social Sciences
12165	Physical Sciences
12166	Physical Sciences
12167	Physical Sciences
12169	Physical Sciences
12170	Physical Sciences
12171	Physical Sciences
12172	Physical Sciences
12174	Physical Sciences
12174	Social Sciences
12175	Physical Sciences
12177	Physical Sciences
12178	Physical Sciences
12179	Physical Sciences
12180	Physical Sciences
12181	Physical Sciences
12182	Physical Sciences
12183	Physical Sciences
12184	Physical Sciences
12185	Physical Sciences
12186	Health Sciences
12187	Health Sciences
12188	Physical Sciences
12188	Social Sciences
12189	Physical Sciences
12190	Health Sciences
12191	Health Sciences
12192	Health Sciences
12194	Health Sciences
12195	Health Sciences
12197	Physical Sciences
12198	Health Sciences
12199	Health Sciences
12201	Health Sciences
12202	Physical Sciences
12203	Health Sciences
12204	Physical Sciences
12205	Physical Sciences
12206	Physical Sciences
12207	Physical Sciences
12208	Physical Sciences
12209	Physical Sciences
12210	Physical Sciences
12210	Social Sciences
12211	Health Sciences
12212	Health Sciences
12213	Physical Sciences
12214	Health Sciences
12215	Health Sciences
12218	Health Sciences
12219	Physical Sciences
12221	Physical Sciences
12223	Social Sciences
12225	Physical Sciences
12226	Physical Sciences
12227	Physical Sciences
12228	Health Sciences
12229	Physical Sciences
12232	Health Sciences
12233	Health Sciences
12234	Health Sciences
12235	Health Sciences
12236	Health Sciences
12237	Physical Sciences
12239	Health Sciences
12240	Health Sciences
12241	Physical Sciences
12244	Health Sciences
12244	Social Sciences
12245	Social Sciences
12246	Physical Sciences
12247	Social Sciences
12248	Health Sciences
12249	Physical Sciences
12249	Social Sciences
12250	Physical Sciences
12252	Health Sciences
12253	Social Sciences
12255	Health Sciences
12256	Social Sciences
12257	Health Sciences
12259	Health Sciences
12260	Health Sciences
12261	Health Sciences
12262	Physical Sciences
12263	Health Sciences
12263	Physical Sciences
12264	Physical Sciences
12265	Health Sciences
12266	Health Sciences
12268	Physical Sciences
12269	Physical Sciences
12270	Physical Sciences
12271	Physical Sciences
12272	Health Sciences
12273	Health Sciences
12274	Physical Sciences
12277	Physical Sciences
12277	Social Sciences
12278	Physical Sciences
12281	Social Sciences
12282	Physical Sciences
12282	Social Sciences
12283	Social Sciences
12284	Physical Sciences
12286	Physical Sciences
12287	Physical Sciences
12288	Physical Sciences
12289	Physical Sciences
12290	Health Sciences
12292	Health Sciences
12295	Physical Sciences
12296	Health Sciences
12299	Health Sciences
12300	Physical Sciences
12301	Physical Sciences
12302	Physical Sciences
12303	Physical Sciences
12303	Social Sciences
12305	Physical Sciences
12306	Physical Sciences
12307	Physical Sciences
12308	Social Sciences
12309	Health Sciences
12309	Social Sciences
12310	Physical Sciences
12311	Physical Sciences
12312	Health Sciences
12313	Physical Sciences
12316	Physical Sciences
12317	Physical Sciences
12318	Physical Sciences
12319	Physical Sciences
12320	Physical Sciences
12321	Physical Sciences
12324	Physical Sciences
12325	Physical Sciences
12326	Physical Sciences
12327	Physical Sciences
12328	Health Sciences
12329	Physical Sciences
12330	Physical Sciences
12332	Health Sciences
12332	Physical Sciences
12332	Social Sciences
12333	Physical Sciences
12334	Health Sciences
12335	Physical Sciences
12336	Physical Sciences
12337	Physical Sciences
12340	Physical Sciences
12341	Physical Sciences
12342	Physical Sciences
12344	Health Sciences
12345	Physical Sciences
12345	Social Sciences
12346	Physical Sciences
12347	Physical Sciences
12348	Physical Sciences
12349	Physical Sciences
