scopus_id	asjc_code
12000	1705
12000	3304
12001	2802
12001	3205
12002	1202
12002	3201
12004	2738
12004	3203
12005	2738
12005	3203
12006	1407
12006	3202
12006	3304
12006	3319
12007	2700
12008	2002
12008	2613
12008	3305
12009	2735
12009	2738
12009	3204
12010	3200
12012	3200
12012	3312
12013	1202
12013	1208
12013	1212
12013	3316
12014	2738
12014	3200
12016	1104
12016	1105
12018	2507
12019	1400
12019	1403
12020	1201
12020	2738
12020	3203
12020	3204
12021	1500
12023	2739
12023	3202
12024	1201
12024	3204
12024	3205
12025	2738
12027	3204
12027	3304
12028	3201
12028	3301
12029	1201
12029	3202
12029	3204
12030	2802
12030	2805
12030	3205
12031	2700
12033	2210
12033	2211
12033	2506
12034	2210
12035	2210
12035	2211
12035	2506
12036	2507
12037	2210
12037	2211
12037	2506
12038	2210
12039	1400
12039	1403
12040	2210
12040	2211
12040	2506
12041	3202
12041	3206
12042	2734
12042	3202
12043	1201
12043	3300
12043	3301
12043	3304
12043	3308
12044	2700
12045	3304
12045	3306
12045	3315
12046	2210
12047	2210
12048	2210
12049	2210
12049	2211
12049	2506
12049	2508
12050	2200
12051	2719
12053	2738
12053	3203
12054	2738
12054	3203
12054	3601
12055	3207
12055	3300
12056	1401
12056	2003
12057	3202
12057	3207
12057	3315
12058	3202
12058	3203
12059	1201
12059	3200
12060	1408
12060	3304
12061	1201
12061	3205
12061	3206
12062	3201
12062	3202
12062	3304
12063	1902
12063	2212
12064	1902
12065	1103
12065	1105
12066	2700
12066	2717
12066	2719
12066	2900
12067	1102
12067	1107
12067	1902
12067	2306
12068	1804
12068	2613
12069	1400
12069	1403
12069	2501
12070	2738
12070	3204
12071	3305
12071	3320
12072	3303
12072	3304
12072	3312
12073	3304
12074	1902
12075	1400
12075	1401
12075	2501
12075	2507
12076	1900
12076	2300
12079	1902
12080	2719
12082	3200
12084	1201
12084	3200
12085	1201
12085	3309
12088	3202
12088	3207
12089	3203
12089	3207
12090	1902
12090	1910
12091	1902
12092	1902
12093	1902
12094	1804
12094	2613
12095	1904
12095	3305
12096	1902
12098	1702
12098	1705
12098	1709
12098	1710
12098	1712
12099	3304
12100	3304
12101	3309
12102	1201
12102	3203
12102	3204
12103	3200
12103	3201
12103	3205
12104	3304
12104	3312
12107	3203
12108	1314
12108	2802
12108	3206
12109	2802
12109	2805
12110	3200
12110	3203
12110	3306
12110	3600
12111	2738
12111	3202
12114	2208
12114	2504
12115	3300
12116	2208
12116	2504
12116	3107
12117	1409
12117	3305
12118	2200
12119	1804
12119	2613
12120	1804
12120	2613
12121	2504
12121	3104
12121	3107
12122	2802
12123	2738
12123	3203
12123	3308
12124	1710
12124	3309
12125	1201
12125	1709
12125	3204
12125	3300
12126	3203
12126	3205
12127	2738
12127	3203
12127	3205
12128	2700
12128	3203
12129	2209
12129	2210
12129	2505
12129	2506
12130	1204
12130	1207
12130	2506
12131	1900
12132	1902
12133	2209
12133	2505
12133	2506
12134	2613
12136	1804
12136	2604
12136	2613
12137	1712
12137	1804
12137	2613
12138	2208
12138	2504
12139	1804
12139	2613
12139	3304
12140	1804
12140	2604
12140	2613
12141	2208
12141	3101
12141	3104
12141	3105
12141	3107
12141	3108
12142	1606
12142	1607
12142	3104
12142	3105
12145	2800
12145	3206
12147	1105
12147	2303
12148	2210
12148	2211
12148	2505
12148	2506
12149	2506
12152	2208
12153	2208
12153	3107
12154	2208
12155	1607
12155	3104
12156	2204
12156	2502
12156	2504
12156	3107
12157	1606
12157	1607
12157	2504
12157	3104
12157	3107
12157	3108
12159	3200
12159	3202
12159	3207
12160	2204
12160	2504
12160	3105
12160	3107
12162	1104
12163	1201
12163	2805
12163	3204
12163	3205
12163	3206
12164	1203
12164	2805
12164	3205
12164	3310
12164	3616
12165	1104
12165	1105
12165	2303
12166	1700
12166	2604
12166	2611
12166	2612
12166	2614
12167	1104
12167	1105
12167	2303
12168	2200
12169	1104
12169	1105
12169	2303
12170	1706
12170	1712
12170	2207
12170	2611
12171	2211
12171	2506
12171	2508
