JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
AADE editors' journal	1	7708172	AADE Ed J	AADE Ed J	0160-6999	
AANA journal	2	0431420	AANA J	AANA J	0094-6354	
AARN news letter	3	1251052	AARN News Lett	AARN News Lett	0001-0197	
[Nihon shika hyoron] The Nippon dental review	4	19130390R	Nihon Shika Hyoron	Nihon Shika Hyoron	0289-0909	
Academia Peruana de Cirugia	5	14490460R	Acad Peru Cir	Acad Peru Cir	0001-3854	
Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	6	7503275	Acad Rev Calif Acad Periodontol	Acad Rev Calif Acad Periodontol	0008-0810	
Acarologia	7	14510400R	Acarologia	Acarologia	0044-586X	
Acquisitions medicales recentes	9	0373054	Acquis Med Recent	Acquis Med Recent	0075-4463	
Activitas nervosa superior	11	0400662	Act Nerv Super (Praha)	Act Nerv Super (Praha)	0001-7604	
Acta allergologica	12	0370567	Acta Allergol	Acta Allergol	0001-5148	
Acta anaesthesiologica	13	0340732	Acta Anaesthesiol	Acta Anaesthesiol	0001-5156	
Acta anaesthesiologica Belgica	14	0421022	Acta Anaesthesiol Belg	Acta Anaesthesiol Belg	0001-5164	
Acta anaesthesiologica Scandinavica	15	0370270	Acta Anaesthesiol Scand	Acta Anaesthesiol Scand	0001-5172	1399-6576
Acta anaesthesiologica Scandinavica. Supplementum	16	0370271	Acta Anaesthesiol Scand Suppl	Acta Anaesthesiol Scand Suppl	0515-2720	
Acta anatomica	17	0370272	Acta Anat (Basel)	Acta Anat (Basel)	0001-5180	
Kaibogaku zasshi. Journal of anatomy	18	0413526	Kaibogaku Zasshi	Kaibogaku Zasshi	0022-7722	
Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	19	0067725	Acta Biochim. Biophys. Acad. Sci. Hung.	Acta Biochim Biophys Acad Sci Hung		
Acta biochimica Polonica	20	14520300R	Acta Biochim. Pol.	Acta Biochim Pol	0001-527X	1734-154X
Across the board	21	9877747	Across Board (NY)	Across Board (NY)	0147-1554	
Acta biologica Academiae Scientiarum Hungaricae	22	0370274	Acta Biol Acad Sci Hung	Acta Biol Acad Sci Hung	0001-5288	
Academy of management review. Academy of Management	23	9877758	Acad Manage Rev	Acad Manage Rev	0363-7425	1930-3807
Acta biochimica et biophysica Hungarica	24	8701158	Acta Biochim. Biophys. Hung.	Acta Biochim Biophys Hung	0237-6261	
Acta biologiae experimentalis	25	1246764	Acta Biol Exp (Warsz)	Acta Biol Exp (Warsz)	0365-0820	
Academy of Management journal. Academy of Management	27	7703609	Acad Manage J	Acad Manage J	0001-4273	1948-0989
Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	28	8307581	Acta Belg Med Phys	Acta Belg Med Phys	0771-5684	
Shi yan sheng wu xue bao	29	0413570	Shi Yan Sheng Wu Xue Bao	Shi Yan Sheng Wu Xue Bao	0001-5334	
Acta biologica Hungarica	30	8404358	Acta. Biol. Hung.	Acta Biol Hung	0236-5383	
Acta biologica et medica	31	0370275	Acta Biol Med (Gdansk)	Acta Biol Med (Gdansk)	0065-1087	
Acta biologica et medica Germanica	32	0370276	Acta Biol. Med. Ger.	Acta Biol Med Ger	0001-5318	
Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma	33	8106323	Acta Biomed Ateneo Parmense	Acta Biomed Ateneo Parmense		
Acta biotheoretica	34	0421520	Acta Biotheor.	Acta Biotheor	0001-5342	1572-8358
Acta cancerologica	35	0370300	Acta Cancerol (Lima)	Acta Cancerol (Lima)	1013-5545	1810-8296
Acta cardiologica	36	0370570	Acta Cardiol	Acta Cardiol	0001-5385	1784-973X
Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	38	0421761	Acta Chem Scand A	Acta Chem Scand A	0302-4377	
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	39	0421265	Acta Chem. Scand., B, Org. Chem. Biochem.	Acta Chem Scand B	0302-4369	
Acta chirurgica Academiae Scientiarum Hungaricae	40	2984283R	Acta Chir Acad Sci Hung	Acta Chir Acad Sci Hung	0001-5431	
Acta chirurgica Hungarica	41	8309977	Acta Chir Hung	Acta Chir Hung	0231-4614	
Acta cardiologica. Supplementum	42	0376316	Acta Cardiol Suppl	Acta Cardiol Suppl	0373-7934	
Acta chirurgica Belgica	43	0370571	Acta Chir. Belg.	Acta Chir Belg	0001-5458	
Acta chirurgica Italica	44	0370303	Acta Chir Ital	Acta Chir Ital	0001-5466	
Acta chirurgica Iugoslavica	45	0372631	Acta Chir Iugosl	Acta Chir Iugosl	0354-950X	
Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	46	0407123	Acta Chir Orthop Traumatol Cech	Acta Chir Orthop Traumatol Cech	0001-5415	
Acta chirurgiae plasticae	47	0370301	Acta Chir Plast	Acta Chir Plast	0001-5423	1805-4404
Acta chirurgica Scandinavica	48	7906530	Acta Chir Scand	Acta Chir Scand	0001-5482	
Acta chirurgica Scandinavica. Supplementum	49	0370305	Acta Chir Scand Suppl	Acta Chir Scand Suppl	0301-1860	
Acta cientifica venezolana	50	0070154	Acta Cient. Venez.	Acta Cient Venez	0001-5504	
Acta clinica Belgica	51	0370306	Acta Clin Belg	Acta Clin Belg	1784-3286	2295-3337
Acta clinica Belgica. Supplementum	52	0043523	Acta Clin Belg Suppl	Acta Clin Belg Suppl	0567-7386	
Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	53	8503035	Acta Clin Odontol	Acta Clin Odontol	0120-9906	
Acta crystallographica	54	0211526	Acta Crystallogr	Acta Crystallogr	0365-110X	
Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography	55	0211627	Acta Crystallogr A	Acta Crystallogr A	0567-7394	
Acta cytologica	57	0370307	Acta Cytol.	Acta Cytol	0001-5547	1938-2650
"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")"	58	8108943	Acta Embryol Morphol Exp	Acta Embryol Morphol Exp	0391-9706	
Acta dermatologica-Kyoto. English edition	59	0266344	Acta Dermatol Kyoto Engl Ed	Acta Dermatol Kyoto Engl Ed	0376-0189	
Acta dermato-venereologica	60	0370310	Acta Derm. Venereol.	Acta Derm Venereol	0001-5555	1651-2057
Acta dermato-venereologica. Supplementum	61	0370311	Acta Derm Venereol Suppl (Stockh)	Acta Derm Venereol Suppl (Stockh)	0365-8341	
Hifuka kiyo. Acta dermatologica	62	1305010	Hifuka Kiyo	Hifuka Kiyo	0065-1176	
Acta diabetologica latina	63	0123567	Acta Diabetol Lat	Acta Diabetol Lat	0001-5563	
Acta embryologiae experimentalis	64	0236000	Acta Embryol Exp (Palermo)	Acta Embryol Exp (Palermo)	0065-1184	
Acta embryologiae et morphologiae experimentalis	65	0235532	Acta Embryol Morphol Exp	Acta Embryol Morphol Exp	0567-7416	
Acta endocrinologica	66	0370312	Acta Endocrinol.	Acta Endocrinol (Copenh)	0001-5598	
Acta endocrinologica. Supplementum	67	0370313	Acta Endocrinol Suppl (Copenh)	Acta Endocrinol Suppl (Copenh)	0300-9750	
Acta Europaea fertilitatis	68	1300660	Acta Eur. Fertil.	Acta Eur Fertil	0587-2421	
Acta gastro-enterologica Belgica	69	0414075	Acta Gastroenterol. Belg.	Acta Gastroenterol Belg	0001-5644	
Acta gastroenterologica Latinoamericana	70	0261505	Acta Gastroenterol. Latinoam.	Acta Gastroenterol Latinoam	0300-9033	
Acta genetica et statistica medica	71	0200600	Acta Genet Stat Med	Acta Genet Stat Med	0567-7440	
Acta geneticae medicae et gemellologiae	72	0370314	Acta Genet Med Gemellol (Roma)	Acta Genet Med Gemellol (Roma)	0001-5660	
Acta gerontologica	73	7501996	Acta Gerontol (Milano)	Acta Gerontol (Milano)	0001-5741	
Acta ginecologica	74	0370317	Acta Ginecol (Madr)	Acta Ginecol (Madr)	0001-5776	
Acta gynaecologica et obstetrica Hispano-Lusitana	75	0147664	Acta Gynaecol Obstet Hisp Lusit	Acta Gynaecol Obstet Hisp Lusit	0001-5784	
Acta haematologica	76	0141053	Acta Haematol.	Acta Haematol	0001-5792	1421-9662
Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	77	2984803R	Nippon Ketsueki Gakkai Zasshi	Nihon Ketsueki Gakkai Zasshi	0001-5806	
Acta haematologica Polonica	78	0262610	Acta Haematol Pol	Acta Haematol Pol	0001-5814	
Acta hepato-gastroenterologica	79	0340734	Acta Hepatogastroenterol (Stuttg)	Acta Hepatogastroenterol (Stuttg)	0300-970X	
Acta historica scientiarum naturalium et medicinalium	80	0416660	Acta Hist Sci Nat Med	Acta Hist Sci Nat Med	0065-1311	
Acta histochemica	81	0370320	Acta Histochem.	Acta Histochem	0065-1281	1618-0372
Acta iberica radiologica-cancerologica	82	0370321	Acta Iber Radiol Cancerol	Acta Iber Radiol Cancerol	0001-589X	
Acta isotopica	83	0421025	Acta Isot (Padova)	Acta Isot (Padova)	0001-5911	
Acta Leidensia	84	0413650	Acta Leiden.	Acta Leiden	0065-1362	
Igaku kenkyu. Acta medica	85	0421144	Igaku Kenkyu	Igaku Kenkyu	0076-597X	
Acta medica Academiae Scientiarum Hungaricae	86	0370323	Acta Med Acad Sci Hung	Acta Med Acad Sci Hung	0001-5989	
Acta medica Austriaca	87	7501997	Acta Med. Austriaca	Acta Med Austriaca	0303-8173	1563-2571
Acta medica Austriaca. Supplement	88	7502262	Acta Med Austriaca Suppl	Acta Med Austriaca Suppl	0303-8181	
Acute care	89	8412026	Acute Care	Acute Care	0254-0819	
Acta medica et biologica	90	0243663	Acta Med. Biol. (Niigata)	Acta Med Biol (Niigata)	0567-7734	
Perspectives (Gerontological Nursing Association (Canada))	91	8500942	Perspectives	Perspectives	0831-7445	
Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	92	14540080R	Acta Med Ital Med Trop Subtrop Gastroenterol	Acta Med Ital Med Trop Subtrop Gastroenterol	0001-6039	
Acta medica Iugoslavica	93	0370324	Acta Med Iugosl	Acta Med Iugosl	0375-8338	
Acta medicinae legalis et socialis	94	7611894	Acta Med Leg Soc (Liege)	Acta Med Leg Soc (Liege)	0065-1397	
Acta medica Nagasakiensia	95	0372633	Acta Med Nagasaki	Acta Med Nagasaki	0001-6055	
Family practice research journal	96	8208228	Fam Pract Res J	Fam Pract Res J	0270-2304	
Fetal therapy	97	8700083	Fetal Ther	Fetal Ther	0257-2788	
Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	98	8807913	Gynecol. Endocrinol.	Gynecol Endocrinol	0951-3590	1473-0766
International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	99	8401784	Int. J. Dev. Neurosci.	Int J Dev Neurosci	0736-5748	1873-474X
The Journal of the American Board of Family Practice / American Board of Family Practice	100	8807505	J Am Board Fam Pract	J Am Board Fam Pract	0893-8652	1544-8770
Journal of biological regulators and homeostatic agents	101	8809253	J. Biol. Regul. Homeost. Agents	J Biol Regul Homeost Agents	0393-974X	
Journal of bioluminescence and chemiluminescence	102	8612490	J. Biolumin. Chemilumin.	J Biolumin Chemilumin	0884-3996	
Acta medica Okayama	103	0417611	Acta Med. Okayama	Acta Med Okayama	0386-300X	
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	104	8610640	J. Bone Miner. Res.	J Bone Miner Res	0884-0431	1523-4681
Acta medica Philippina	105	0312677	Acta Med Philipp	Acta Med Philipp	0001-6071	
Acta medica Polona	106	0370326	Acta Med Pol	Acta Med Pol	0001-608X	
Acta medica portuguesa	107	7906803	Acta Med Port	Acta Med Port	0870-399X	1646-0758
Acta medica Scandinavica	108	0370330	Acta Med Scand	Acta Med Scand	0001-6101	
Acta medica Scandinavica. Supplementum	109	0370331	Acta Med. Scand. Suppl.	Acta Med Scand Suppl	0365-463X	
Acta medica veterinaria	110	0000212	Acta Med Vet (Napoli)	Acta Med Vet (Napoli)	0001-6136	
Acta microbiologica Academiae Scientiarum Hungaricae	111	0370333	Acta Microbiol Acad Sci Hung	Acta Microbiol Acad Sci Hung	0001-6187	
Acta microbiologica Bulgarica	112	7901426	Acta Microbiol Bulg	Acta Microbiol Bulg	0204-8809	
Acta microbiologica Polonica	113	7610362	Acta Microbiol. Pol.	Acta Microbiol Pol	0137-1320	
Acta microbiologica Polonica. Series A: Microbiologia generalis	114	7610360	Acta Microbiol Pol A	Acta Microbiol Pol A	0567-7815	
Acta microbiologica Polonica. Series B: Microbiologia applicata	115	7610361	Acta Microbiol Pol B	Acta Microbiol Pol B	0567-7823	
Acta morphologica Academiae Scientiarum Hungaricae	116	0370334	Acta Morphol Acad Sci Hung	Acta Morphol Acad Sci Hung	0001-6217	
Acta microbiologica, virologica et immunologica	118	7600027	Acta Microbiol Virol Immunol (Sofiia)	Acta Microbiol Virol Immunol (Sofiia)	0324-0452	
Acta morphologica Hungarica	119	8307964	Acta Morphol Hung	Acta Morphol Hung	0236-5391	
Acta morphologica Neerlando-Scandinavica	120	0370335	Acta Morphol Neerl Scand	Acta Morphol Neerl Scand	0001-6225	
Acta neurobiologiae experimentalis	121	1246675	Acta Neurobiol Exp (Wars)	Acta Neurobiol Exp (Wars)	0065-1400	1689-0035
Acta neurochirurgica	122	0151000	Acta Neurochir (Wien)	Acta Neurochir (Wien)	0001-6268	0942-0940
